image,Born,Person,description,occupation,position held,country of citizenship,given name
,2003-05-07,Carlos Tatay,Spanish motorcycle racer,motorcycle racer,,,Carlos
,2003-05-07,Kevin Paredes,association football player (*2003) ♂,association football player,,,Kevin
,2002-05-07,Bang Ye-dam,singer,singer,,South Korea,Q69512556
,2002-05-07,Naatan Skyttä,Finnish footballer,association football player,,Finland,
,2002-05-07,Matthew Alexander,English association football player,association football player,,United Kingdom,Matthew
,2001-05-07,Wang Chang,badminton player,badminton player,,People's Republic of China,
,2001-05-07,Manato Kudo,Japanese association football player,association football player,,Japan,
,2001-05-07,Dejan Zukić,association football player (*2001) ♂,association football player,,,Dejan
,2001-05-07,Ieva Krasnova,association football player (*2001) ♀,association football player,,,
,2000-05-07,Markus Karlsbakk,association football player,association football player,,,Markus
,2000-05-07,Maxwell Perry Cotton,American actor,actor television actor film actor,,United States of America,Maxwell
,2000-05-07,Roland Gerebenits,association football player,association football player,,,Roland
,2000-05-07,Ibrahim Sadiq,association football player,association football player,,Ghana,
,2000-05-07,Lee Soo-bin,South Korean footballer (2000-),association football player,,,
,2000-05-07,Eden Alene,Israeli female singer,singer,,Israel,Eden
,2000-05-07,Joona Tiainen,Finnish football player,association football player,,Finland,
,1999-05-07,Megan Skaggs,Artistic gymnast (*1999) ♀,artistic gymnast,,,Megan
,1999-05-07,Talita von Fürstenberg,German-American socialite and fashion model,socialite model fashion designer,,,Talita
,1999-05-07,Shoi Sakaguchi,Japanese association football player,association football player,,Japan,
,1999-05-07,Cody Gakpo,Dutch footballer,association football player,,Kingdom of the Netherlands,Cody
,1999-05-07,Fraser Murray,association football player,association football player,,Scotland,
,1999-05-07,Erika Zafirova,Bulgaria rhythmic gymnast (*1999) ♀,rhythmic gymnast,,Bulgaria,Erika
,1999-05-07,Rutaparna Panda,Indian badminton player,badminton player,,India,
,1999-05-07,Jun Kobayashi,Japanese association football player,association football player,,Japan,
,1999-05-07,Kyohei Ueda,Japanese association football player,association football player,,Japan,
,1999-05-07,Aroa Gorostiza,Spanish cyclist,sport cyclist,,Spain,Aroa
,1999-05-07,Matija Horvat,association football player,association football player,,Croatia,
,1999-05-07,Peter Kekeris,association football player,association football player,,Australia,Peter
