image,Born,Person,description,occupation,position held,country of citizenship,given name,UpdatedAt
,1975-05-07,Assaf Naor,Israeli mathematician,mathematician computer scientist university teacher,,Israel,,2020-05-07
,1965-05-07,Olivier Ramaré,French mathematician,mathematician,,France,Olivier,2020-05-07
,1952-05-07,Gérard Laumon,French mathematician,mathematician,Director of Research at CNRS,France,Gérard,2020-05-07
,1939-05-07,Alexey Stakhov,"professor, mathematician, inventor, engineer",engineer mathematician,,Soviet Union,Alexey,2020-05-07
,1936-05-07,Shashikumar Chitre,Indian mathematician and astrophysicist,astrophysicist,,,,2020-05-07
,1929-05-07,Ralph E. Gomory,American mathematician,mathematician university teacher computer scientist,,United States of America,Ralph,2020-05-07
,1926-05-07,Jaroslav Kurzweil,Czech mathematician,mathematician,,Czech Republic,Jaroslav,2020-05-07
,1963-05-07,Nicholas Polson,British statistician,mathematician statistician,,United States of America,Nicholas,2020-05-07
,1958-05-07,Sara van de Geer,Dutch statistician,statistician mathematician university teacher,,Kingdom of the Netherlands,Sara,2020-05-07
,1942-05-07,Elliot Koffman,computer scientist,mathematician computer scientist,,United States of America,Elliot,2020-05-07
,1941-05-07,Bill Warner,Anerican critic of Islam and former physics professor,writer physicist mathematician conspiracy theorist teacher,,United States of America,Bill,2020-05-07
image,Born,Person,description,occupation,position held,country of citizenship,given name,UpdatedAt
,1960-05-29,Vladimir Zakharov (mathematician),"Russian mathematician, Professor, Dr.Sc., a professor at the Faculty of Computer Science at the Moscow State University.",university teacher mathematician computer scientist,,,,2020-05-29
,1951-05-29,Asef Hadjiyev,"mathematician and politician , Member of the National Assembly of Azerbaijan (*1951) ♂; member of Azerbaijan National Academy of Sciences",mathematician politician,Member of the National Assembly of Azerbaijan,,,2020-05-29
,1944-05-29,Nicole El Karoui,French mathematician,mathematician professeur des universités,,France,Nicole,2020-05-29
,1942-05-29,Shigeru Iitaka,Japanese mathematician,mathematician,,Japan,Shigeru,2020-05-29
,1938-05-29,Tammo tom Dieck,German mathematician,mathematician university teacher topologist,,Germany Brazil,Tammo,2020-05-29
image,Born,Person,description,occupation,position held,country of citizenship,given name,UpdatedAt
,1957-06-01,Guy David,French mathematician,mathematician,,France,Guy,2020-06-01
,1944-06-01,Haïm Brezis,French mathematician who works in functional analysis and partial differential equation,mathematician professeur des universités,,France,Haim,2020-06-01
,1943-06-01,Edmund Robertson,British mathematician,mathematician historian of mathematics university teacher,,United Kingdom,Edmund,2020-06-01
,1941-06-01,Peter Rosenthal,Canadian mathematician and lawyer,,,Canada,Peter,2020-06-01
